Commonname,individualCount,,
Meadow pipit,6,,
Golden eagle,1,,
Carrion crow,2,,
Song thrush,3,,
Skylark,2,,
Wood pigeon,3,,
Wood pigeon,4,,
Wood pigeon,2,,
Wood pigeon,1,,
Wood pigeon,1,,
Wood pigeon,1,,
Wood pigeon,1,,
Wood pigeon,1,,
Wood pigeon,2,,
Pied wagtail,1,,
European robin,1,,
Blue tit,1,,
Western jackdaw,15,,
Unidentified thrush,1,,
Coal tit,1,,
Skylark,1,,
Common kestrel,1,,
,,,
,,,
,,,
,,,
