Commonname,,occurrenceStatus,
Lesser noctule,,Present,
Nathusius' pipistrelle,,Present,
Common pipistrelle,,Present,
Nathusius' pipistrelle,,Present,
Common pipistrelle,,Present,
Soprano pipistrelle,,Present,
Brown long-eared bat,,Present,
Nathusius' pipistrelle,,Present,
Common pipistrelle,,Present,
Soprano pipistrelle,,Present,
Lesser noctule,,Present,
Common pipistrelle,,Present,
Soprano pipistrelle,,Present,
Nathusius' pipistrelle,,Present,
Common pipistrelle,,Present,
