Commonname,occurrenceStatus,,
Soprano pipistrelle,Present,,
Soprano pipistrelle,Present,,
Soprano pipistrelle,Present,,
Common pipistrelle,Present,,
Common pipistrelle,Present,,
Soprano pipistrelle,Present,,
Common pipistrelle,Present,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
