Commonname,occurrenceStatus,,
Red deer,Present,,
Domestic sheep,Present,,
Red deer,Present,,
Domestic sheep,Present,,
Badger,Present,,
Red Squirrel,Present,,
Red deer,Present,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
